action,eventId,messageId,senderId,receiverId,nodeRole,generationTime,eventTime,remainingHops,hopCount,packetBytes,duplicateDiscarded,ttlExpired
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],ambulance,emergency,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal8,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal12,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal13,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal10,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal17,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal25,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal5,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal21,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal1,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],EmergencyGridScenario.rsu[1],rsu,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal7,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal4,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal9,normal,67,67.0335,8,2,266,1,0
duplicate_discard,accident-1,em-accident-1,EmergencyGridScenario.rsu[0],normal18,normal,67,67.0335,8,2,266,1,0
