density,configuration,seed,accident_trigger_s,accident_detection_s,em_generation_s,ev_receipt_s,ev_departure_s,ev_arrival_s,stored_travel_time_s,stored_response_time_s,calculated_travel_time_s,calculated_response_time_s,status
low,MistDynamicAStar,6,60.0,66.0,66.0,66.0417,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,7,60.0,66.0,66.0,66.0287,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,8,60.0,66.0,66.0,66.0349,67.0,207.5,140.5,141.5,140.5,141.5,PASS
low,MistDynamicAStar,9,60.0,66.0,66.0,66.0238,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,1,60.0,67.0,67.0,67.0361,68.0,208.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,10,60.0,65.5,65.5,65.515,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,11,60.0,66.0,66.0,66.0218,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,12,60.0,65.5,65.5,65.529,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,13,60.0,67.5,67.5,67.5245,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,14,60.0,66.0,66.0,66.0212,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,15,60.0,66.0,66.0,66.026,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,16,60.0,65.5,65.5,65.5138,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,17,60.0,68.0,68.0,68.0193,69.0,209.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,18,60.0,66.0,66.0,66.0287,67.0,204.5,137.5,138.5,137.5,138.5,PASS
medium,MistDynamicAStar,19,60.0,66.0,66.0,66.0411,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicAStar,2,60.0,67.5,67.5,67.5214,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,20,60.0,65.5,65.5,65.5192,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
medium,MistDynamicAStar,22,60.0,65.5,65.5,65.5165,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,23,60.0,66.0,66.0,66.0196,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicAStar,24,60.0,66.0,66.0,66.0334,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,25,60.0,65.5,65.5,65.5223,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,26,60.0,66.0,66.0,66.0247,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,27,60.0,66.0,66.0,66.0203,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicAStar,28,60.0,66.0,66.0,66.0343,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,29,60.0,66.0,66.0,66.0231,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,3,60.0,65.5,65.5,65.5196,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,30,60.0,65.5,65.5,65.5245,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,4,60.0,65.5,65.5,65.5194,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,5,60.0,65.5,65.5,65.5212,66.5,204.0,137.5,138.5,137.5,138.5,PASS
medium,MistDynamicAStar,6,60.0,66.0,66.0,66.0204,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,7,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicAStar,8,60.0,66.0,66.0,66.0255,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicAStar,9,60.0,66.0,66.0,66.0502,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,1,60.0,65.5,65.5,65.5153,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,10,60.0,65.5,65.5,65.524,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,11,60.0,66.0,66.0,66.0256,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,12,60.0,65.5,65.5,65.5204,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistDynamicFogFallback,14,60.0,66.0,66.0,66.0317,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,15,60.0,66.0,66.0,66.0313,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,16,60.0,66.0,66.0,66.0171,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicFogFallback,17,60.0,65.5,65.5,65.5203,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,18,60.0,66.0,66.0,66.0265,67.0,204.5,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,19,60.0,66.0,66.0,66.0291,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,2,60.0,65.5,65.5,65.5139,66.5,208.0,141.5,142.5,141.5,142.5,PASS
high,MistDynamicFogFallback,20,60.0,66.0,66.0,66.0268,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,MistDynamicFogFallback,22,60.0,66.5,66.5,66.5196,67.5,254.0,186.5,187.5,186.5,187.5,PASS
high,MistDynamicFogFallback,23,60.0,65.5,65.5,65.5159,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,24,60.0,66.0,66.0,66.0299,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,25,60.0,65.5,65.5,65.5169,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,26,60.0,66.0,66.0,66.0241,67.0,214.5,147.5,148.5,147.5,148.5,PASS
high,MistDynamicFogFallback,27,60.0,66.0,66.0,66.0248,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicFogFallback,28,60.0,66.0,66.0,66.0185,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,29,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,3,60.0,65.5,65.5,65.5177,66.5,206.5,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,30,60.0,66.0,66.0,66.0301,67.0,213.0,146.0,147.0,146.0,147.0,PASS
high,MistDynamicFogFallback,4,60.0,65.5,65.5,65.519,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,5,60.0,66.0,66.0,66.0247,67.0,204.5,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,6,60.0,66.0,66.0,66.0344,67.0,207.5,140.5,141.5,140.5,141.5,PASS
high,MistDynamicFogFallback,7,60.0,66.0,66.0,66.0264,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,MistDynamicFogFallback,8,60.0,65.5,65.5,65.5153,66.5,204.0,137.5,138.5,137.5,138.5,PASS
high,MistDynamicFogFallback,9,60.0,66.0,66.0,66.0395,67.0,211.0,144.0,145.0,144.0,145.0,PASS
low,MistDynamicFogFallback,1,60.0,66.0,66.0,66.0364,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,10,60.0,65.5,65.5,65.5234,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,11,60.0,66.0,66.0,66.0227,67.0,207.5,140.5,141.5,140.5,141.5,PASS
low,MistDynamicFogFallback,12,60.0,65.5,65.5,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistDynamicFogFallback,13,60.0,66.0,66.0,66.0417,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistDynamicFogFallback,14,60.0,66.0,66.0,66.029,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,15,60.0,66.0,66.0,66.0266,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,16,60.0,66.0,66.0,66.0258,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,17,60.0,66.0,66.0,66.036,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,18,60.0,65.5,65.5,65.5312,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,19,60.0,66.0,66.0,66.039,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,2,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,20,60.0,65.5,65.5,65.525,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,21,60.0,66.0,66.0,66.0396,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistDynamicFogFallback,22,60.0,66.0,66.0,66.0415,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,23,60.0,65.5,65.5,65.5308,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,24,60.0,66.0,66.0,66.027,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,25,60.0,65.5,65.5,65.5156,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,26,60.0,65.5,65.5,65.5286,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,27,60.0,67.5,67.5,67.5315,68.5,209.0,140.5,141.5,140.5,141.5,PASS
low,MistDynamicFogFallback,28,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistDynamicFogFallback,29,60.0,66.0,66.0,66.0227,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,3,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,30,60.0,66.0,66.0,66.0255,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,4,60.0,66.0,66.0,66.0522,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,5,60.0,65.5,65.5,65.5253,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,6,60.0,66.0,66.0,66.0417,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,7,60.0,66.0,66.0,66.0287,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicFogFallback,8,60.0,66.0,66.0,66.0349,67.0,207.5,140.5,141.5,140.5,141.5,PASS
low,MistDynamicFogFallback,9,60.0,66.0,66.0,66.0238,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,1,60.0,67.0,67.0,67.0361,68.0,208.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,10,60.0,65.5,65.5,65.515,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,11,60.0,66.0,66.0,66.0218,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,12,60.0,65.5,65.5,65.529,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,13,60.0,67.5,67.5,67.5245,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,14,60.0,66.0,66.0,66.0212,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,15,60.0,66.0,66.0,66.026,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,16,60.0,65.5,65.5,65.5138,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,17,60.0,68.0,68.0,68.0193,69.0,209.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,18,60.0,66.0,66.0,66.0287,67.0,204.5,137.5,138.5,137.5,138.5,PASS
medium,MistDynamicFogFallback,19,60.0,66.0,66.0,66.0411,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicFogFallback,2,60.0,67.5,67.5,67.5214,68.5,208.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,20,60.0,65.5,65.5,65.5192,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
medium,MistDynamicFogFallback,22,60.0,65.5,65.5,65.5165,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,23,60.0,66.0,66.0,66.0196,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicFogFallback,24,60.0,66.0,66.0,66.0334,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,25,60.0,65.5,65.5,65.5223,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,26,60.0,66.0,66.0,66.0247,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,27,60.0,66.0,66.0,66.0203,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicFogFallback,28,60.0,66.0,66.0,66.0343,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,29,60.0,66.0,66.0,66.0231,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,3,60.0,65.5,65.5,65.5196,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,30,60.0,65.5,65.5,65.5245,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,4,60.0,65.5,65.5,65.5194,66.5,206.5,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,5,60.0,65.5,65.5,65.5212,66.5,204.0,137.5,138.5,137.5,138.5,PASS
medium,MistDynamicFogFallback,6,60.0,66.0,66.0,66.0204,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,7,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
medium,MistDynamicFogFallback,8,60.0,66.0,66.0,66.0255,67.0,207.5,140.5,141.5,140.5,141.5,PASS
medium,MistDynamicFogFallback,9,60.0,66.0,66.0,66.0502,67.0,207.0,140.0,141.0,140.0,141.0,PASS
high,NoPreemptionBaseline,1,60.0,65.5,65.5,65.5153,67.0,252.5,185.5,187.0,185.5,187.0,PASS
high,NoPreemptionBaseline,10,60.0,65.5,65.5,65.524,67.0,254.5,187.5,189.0,187.5,189.0,PASS
high,NoPreemptionBaseline,11,60.0,66.0,66.0,66.0256,67.5,254.5,187.0,188.5,187.0,188.5,PASS
high,NoPreemptionBaseline,12,60.0,65.5,65.5,65.5204,67.0,349.5,282.5,284.0,282.5,284.0,PASS
high,NoPreemptionBaseline,13,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,NoPreemptionBaseline,14,60.0,66.0,66.0,66.0317,67.5,254.5,187.0,188.5,187.0,188.5,PASS
high,NoPreemptionBaseline,15,60.0,66.0,66.0,66.0313,67.5,256.5,189.0,190.5,189.0,190.5,PASS
high,NoPreemptionBaseline,16,60.0,66.0,66.0,66.0171,67.5,252.5,185.0,186.5,185.0,186.5,PASS
high,NoPreemptionBaseline,17,60.0,65.5,65.5,65.5203,67.0,270.0,203.0,204.5,203.0,204.5,PASS
high,NoPreemptionBaseline,18,60.0,66.0,66.0,66.0265,67.5,262.5,195.0,196.5,195.0,196.5,PASS
high,NoPreemptionBaseline,19,60.0,66.0,66.0,66.0291,67.5,261.0,193.5,195.0,193.5,195.0,PASS
high,NoPreemptionBaseline,2,60.0,65.5,65.5,65.5139,67.0,258.5,191.5,193.0,191.5,193.0,PASS
high,NoPreemptionBaseline,20,60.0,66.0,66.0,66.0268,67.5,250.0,182.5,184.0,182.5,184.0,PASS
high,NoPreemptionBaseline,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
high,NoPreemptionBaseline,22,60.0,66.5,66.5,66.5196,68.0,250.0,182.0,183.5,182.0,183.5,PASS
high,NoPreemptionBaseline,23,60.0,65.5,65.5,65.5159,67.0,260.5,193.5,195.0,193.5,195.0,PASS
high,NoPreemptionBaseline,24,60.0,66.0,66.0,66.0299,67.5,250.0,182.5,184.0,182.5,184.0,PASS
high,NoPreemptionBaseline,25,60.0,65.5,65.5,65.5169,67.0,252.5,185.5,187.0,185.5,187.0,PASS
high,NoPreemptionBaseline,26,60.0,66.0,66.0,66.0241,67.5,256.0,188.5,190.0,188.5,190.0,PASS
high,NoPreemptionBaseline,27,60.0,66.0,66.0,66.0248,67.5,252.5,185.0,186.5,185.0,186.5,PASS
high,NoPreemptionBaseline,28,60.0,66.0,66.0,66.0185,67.5,346.5,279.0,280.5,279.0,280.5,PASS
high,NoPreemptionBaseline,29,60.0,66.0,66.0,66.0243,67.5,252.5,185.0,186.5,185.0,186.5,PASS
high,NoPreemptionBaseline,3,60.0,65.5,65.5,65.5177,67.0,255.0,188.0,189.5,188.0,189.5,PASS
high,NoPreemptionBaseline,30,60.0,66.0,66.0,66.0301,67.5,269.5,202.0,203.5,202.0,203.5,PASS
high,NoPreemptionBaseline,4,60.0,65.5,65.5,65.519,67.0,257.0,190.0,191.5,190.0,191.5,PASS
high,NoPreemptionBaseline,5,60.0,66.0,66.0,66.0247,67.5,266.0,198.5,200.0,198.5,200.0,PASS
high,NoPreemptionBaseline,6,60.0,66.0,66.0,66.0344,67.5,256.0,188.5,190.0,188.5,190.0,PASS
high,NoPreemptionBaseline,7,60.0,66.0,66.0,66.0264,67.5,252.5,185.0,186.5,185.0,186.5,PASS
high,NoPreemptionBaseline,8,60.0,65.5,65.5,65.5153,67.0,250.0,183.0,184.5,183.0,184.5,PASS
high,NoPreemptionBaseline,9,60.0,66.0,66.0,66.0395,67.5,258.5,191.0,192.5,191.0,192.5,PASS
low,NoPreemptionBaseline,1,60.0,66.0,66.0,66.0364,67.5,256.5,189.0,190.5,189.0,190.5,PASS
low,NoPreemptionBaseline,10,60.0,65.5,65.5,65.5234,67.0,254.5,187.5,189.0,187.5,189.0,PASS
low,NoPreemptionBaseline,11,60.0,66.0,66.0,66.0227,67.5,254.5,187.0,188.5,187.0,188.5,PASS
low,NoPreemptionBaseline,12,60.0,65.5,65.5,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,NoPreemptionBaseline,13,60.0,66.0,66.0,66.0417,67.5,255.0,187.5,189.0,187.5,189.0,PASS
low,NoPreemptionBaseline,14,60.0,66.0,66.0,66.029,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,15,60.0,66.0,66.0,66.0266,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,16,60.0,66.0,66.0,66.0258,67.5,252.5,185.0,186.5,185.0,186.5,PASS
low,NoPreemptionBaseline,17,60.0,66.0,66.0,66.036,67.5,257.0,189.5,191.0,189.5,191.0,PASS
low,NoPreemptionBaseline,18,60.0,65.5,65.5,65.5312,67.0,257.0,190.0,191.5,190.0,191.5,PASS
low,NoPreemptionBaseline,19,60.0,66.0,66.0,66.039,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,2,60.0,66.0,66.0,66.0243,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,20,60.0,65.5,65.5,65.525,67.0,254.5,187.5,189.0,187.5,189.0,PASS
low,NoPreemptionBaseline,21,60.0,66.0,66.0,66.0396,67.5,256.0,188.5,190.0,188.5,190.0,PASS
low,NoPreemptionBaseline,22,60.0,66.0,66.0,66.0415,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,23,60.0,65.5,65.5,65.5308,67.0,250.0,183.0,184.5,183.0,184.5,PASS
low,NoPreemptionBaseline,24,60.0,66.0,66.0,66.027,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,25,60.0,65.5,65.5,65.5156,67.0,250.0,183.0,184.5,183.0,184.5,PASS
low,NoPreemptionBaseline,26,60.0,65.5,65.5,65.5286,67.0,250.0,183.0,184.5,183.0,184.5,PASS
low,NoPreemptionBaseline,27,60.0,67.5,67.5,67.5315,69.0,253.0,184.0,185.5,184.0,185.5,PASS
low,NoPreemptionBaseline,28,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,NoPreemptionBaseline,29,60.0,66.0,66.0,66.0227,67.5,252.5,185.0,186.5,185.0,186.5,PASS
low,NoPreemptionBaseline,3,60.0,66.0,66.0,66.0331,67.5,254.5,187.0,188.5,187.0,188.5,PASS
low,NoPreemptionBaseline,30,60.0,66.0,66.0,66.0255,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,4,60.0,66.0,66.0,66.0522,67.5,254.5,187.0,188.5,187.0,188.5,PASS
low,NoPreemptionBaseline,5,60.0,65.5,65.5,65.5253,67.0,250.0,183.0,184.5,183.0,184.5,PASS
low,NoPreemptionBaseline,6,60.0,66.0,66.0,66.0417,67.5,252.5,185.0,186.5,185.0,186.5,PASS
low,NoPreemptionBaseline,7,60.0,66.0,66.0,66.0287,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,8,60.0,66.0,66.0,66.0349,67.5,250.0,182.5,184.0,182.5,184.0,PASS
low,NoPreemptionBaseline,9,60.0,66.0,66.0,66.0238,67.5,257.0,189.5,191.0,189.5,191.0,PASS
medium,NoPreemptionBaseline,1,60.0,67.0,67.0,67.0361,68.5,253.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,10,60.0,65.5,65.5,65.515,67.0,258.5,191.5,193.0,191.5,193.0,PASS
medium,NoPreemptionBaseline,11,60.0,66.0,66.0,66.0218,67.5,345.5,278.0,279.5,278.0,279.5,PASS
medium,NoPreemptionBaseline,12,60.0,65.5,65.5,65.529,67.0,254.5,187.5,189.0,187.5,189.0,PASS
medium,NoPreemptionBaseline,13,60.0,67.5,67.5,67.5245,69.0,254.5,185.5,187.0,185.5,187.0,PASS
medium,NoPreemptionBaseline,14,60.0,66.0,66.0,66.0212,67.5,252.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,15,60.0,66.0,66.0,66.026,67.5,254.5,187.0,188.5,187.0,188.5,PASS
medium,NoPreemptionBaseline,16,60.0,65.5,65.5,65.5138,67.0,257.0,190.0,191.5,190.0,191.5,PASS
medium,NoPreemptionBaseline,17,60.0,68.0,68.0,68.0193,69.5,252.5,183.0,184.5,183.0,184.5,PASS
medium,NoPreemptionBaseline,18,60.0,66.0,66.0,66.0287,67.5,253.0,185.5,187.0,185.5,187.0,PASS
medium,NoPreemptionBaseline,19,60.0,66.0,66.0,66.0411,67.5,261.5,194.0,195.5,194.0,195.5,PASS
medium,NoPreemptionBaseline,2,60.0,67.5,67.5,67.5214,69.0,250.0,181.0,182.5,181.0,182.5,PASS
medium,NoPreemptionBaseline,20,60.0,65.5,65.5,65.5192,67.0,254.0,187.0,188.5,187.0,188.5,PASS
medium,NoPreemptionBaseline,21,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
medium,NoPreemptionBaseline,22,60.0,65.5,65.5,65.5165,67.0,257.0,190.0,191.5,190.0,191.5,PASS
medium,NoPreemptionBaseline,23,60.0,66.0,66.0,66.0196,67.5,260.5,193.0,194.5,193.0,194.5,PASS
medium,NoPreemptionBaseline,24,60.0,66.0,66.0,66.0334,67.5,256.0,188.5,190.0,188.5,190.0,PASS
medium,NoPreemptionBaseline,25,60.0,65.5,65.5,65.5223,67.0,255.0,188.0,189.5,188.0,189.5,PASS
medium,NoPreemptionBaseline,26,60.0,66.0,66.0,66.0247,67.5,252.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,27,60.0,66.0,66.0,66.0203,67.5,252.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,28,60.0,66.0,66.0,66.0343,67.5,250.0,182.5,184.0,182.5,184.0,PASS
medium,NoPreemptionBaseline,29,60.0,66.0,66.0,66.0231,67.5,252.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,3,60.0,65.5,65.5,65.5196,67.0,255.0,188.0,189.5,188.0,189.5,PASS
medium,NoPreemptionBaseline,30,60.0,65.5,65.5,65.5245,67.0,267.0,200.0,201.5,200.0,201.5,PASS
medium,NoPreemptionBaseline,4,60.0,65.5,65.5,65.5194,67.0,255.0,188.0,189.5,188.0,189.5,PASS
medium,NoPreemptionBaseline,5,60.0,65.5,65.5,65.5212,67.0,266.0,199.0,200.5,199.0,200.5,PASS
medium,NoPreemptionBaseline,6,60.0,66.0,66.0,66.0204,67.5,257.5,190.0,191.5,190.0,191.5,PASS
medium,NoPreemptionBaseline,7,60.0,66.0,66.0,66.0331,67.5,252.5,185.0,186.5,185.0,186.5,PASS
medium,NoPreemptionBaseline,8,60.0,66.0,66.0,66.0255,67.5,259.0,191.5,193.0,191.5,193.0,PASS
medium,NoPreemptionBaseline,9,60.0,66.0,66.0,66.0502,67.5,255.0,187.5,189.0,187.5,189.0,PASS
